accuracy,loss,mean_io_u,val_accuracy,val_loss,val_mean_io_u,learning_rate
0.9437487125396729,0.305726557970047,0.31579142808914185,0.8822494745254517,0.6345143914222717,0.3032173812389374,0.0002500000118743628
0.9486681222915649,0.2685929238796234,0.31579142808914185,0.9446000456809998,0.2628326117992401,0.3032173812389374,0.0002500000118743628
0.9633491635322571,0.1755584329366684,0.31579142808914185,0.9615899324417114,0.17724508047103882,0.3032173812389374,0.0002500000118743628
0.9694882035255432,0.14178968966007233,0.31579142808914185,0.965877115726471,0.15002934634685516,0.3032173812389374,0.0002500000118743628
0.9574074745178223,0.22824960947036743,0.31579142808914185,0.9404654502868652,0.2928501069545746,0.3032173812389374,0.0002500000118743628
0.963348925113678,0.1831328570842743,0.31579142808914185,0.9590474963188171,0.18525776267051697,0.3032173812389374,0.0002500000118743628
0.9700414538383484,0.14062140882015228,0.31579142808914185,0.966975748538971,0.15155762434005737,0.3032173812389374,0.0002500000118743628
0.9623839259147644,0.19314628839492798,0.31579142808914185,0.9464658498764038,0.25962579250335693,0.3032173812389374,0.0002500000118743628
0.9660055041313171,0.16262750327587128,0.31579142808914185,0.9597651958465576,0.18363825976848602,0.3032173812389374,0.0001250000059371814
0.9733023643493652,0.1249094158411026,0.31579142808914185,0.9675629734992981,0.14196665585041046,0.3032173812389374,0.0001250000059371814
0.974728524684906,0.1151670515537262,0.31579142808914185,0.970550537109375,0.12782108783721924,0.3032173812389374,0.0001250000059371814
0.9754701852798462,0.11206250637769699,0.31579142808914185,0.9724805355072021,0.12103136628866196,0.3032173812389374,0.0001250000059371814
0.9753983616828918,0.1123347282409668,0.31579142808914185,0.9722121953964233,0.12023632973432541,0.3032173812389374,0.0001250000059371814
0.9762023687362671,0.10728958249092102,0.31579142808914185,0.9734970331192017,0.12804408371448517,0.3032173812389374,0.0001250000059371814
0.9766122102737427,0.10638517141342163,0.31579142808914185,0.9726668000221252,0.11874476820230484,0.3032173812389374,0.0001250000059371814
0.9768995046615601,0.10436224192380905,0.31579142808914185,0.9747861623764038,0.11473790556192398,0.3032173812389374,0.0001250000059371814
0.9770568609237671,0.10290171951055527,0.31579142808914185,0.9751313328742981,0.10892722755670547,0.3032173812389374,0.0001250000059371814
0.9753457307815552,0.11228790134191513,0.31579142808914185,0.974000096321106,0.11401481926441193,0.3032173812389374,0.0001250000059371814
0.9768950343132019,0.10520000755786896,0.31579142808914185,0.9745062589645386,0.11175868660211563,0.3032173812389374,0.0001250000059371814
0.9774767160415649,0.10115267336368561,0.31579142808914185,0.9756385684013367,0.10677312314510345,0.3032173812389374,0.0001250000059371814
0.9783840775489807,0.09674817323684692,0.31579142808914185,0.976841390132904,0.10286051779985428,0.3032173812389374,0.0001250000059371814
0.9784277677536011,0.09682368487119675,0.31579142808914185,0.9733613133430481,0.11880605667829514,0.3032173812389374,0.0001250000059371814
0.9718854427337646,0.13001024723052979,0.31579142808914185,0.9668158292770386,0.1534813493490219,0.3032173812389374,0.0001250000059371814
0.9730674624443054,0.1260857731103897,0.31579142808914185,0.9715239405632019,0.12400270253419876,0.3032173812389374,0.0001250000059371814
